Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-101808.22949987373,-102501.40548866997
0.01,0.19,0.39,0.41,-101743.73503463682,-102422.48695326662
0.01,0.19,0.4,0.4,-101699.97902152261,-102380.26178546729
0.01,0.2,0.38,0.41,-101667.4348469312,-102331.92337460452
0.01,0.2,0.39,0.4,-101626.94366942768,-102292.58480169388
0.01,0.2,0.4,0.39,-101578.51170690054,-102245.59960563733
0.01,0.21,0.37,0.41,-101579.63110467266,-102229.99059758568
0.01,0.21,0.38,0.4,-101542.51473014845,-102193.64330433549
0.01,0.21,0.39,0.39,-101497.3741211704,-102149.55280530301
0.01,0.21,0.4,0.38,-101444.28563587816,-102097.77147086561
0.01,0.22,0.36,0.41,-101480.58769500763,-102116.92622360021
0.01,0.22,0.37,0.4,-101446.95954662937,-102083.67979484398
0.01,0.22,0.38,0.39,-101405.21886110901,-102042.58857697324
0.01,0.22,0.39,0.38,-101355.44824844427,-101993.71014429015
0.01,0.22,0.4,0.37,-101297.72097187994,-101937.09202757111
0.01,0.23,0.35,0.41,-101370.5343842442,-101992.9337361776
0.01,0.23,0.36,0.4,-101340.51174580489,-101962.90306066902
0.01,0.23,0.37,0.39,-101302.28300944886,-101924.92060718675
0.01,0.23,0.38,0.38,-101255.93744186021,-101879.0495587859
0.01,0.23,0.39,0.37,-101201.55455814178,-101825.3426501674
0.01,0.23,0.4,0.36,-101139.20416232033,-101763.84220818299
0.01,0.24,0.34,0.41,-101249.67013623654,-101858.18581631476
0.01,0.24,0.35,0.4,-101223.37460327987,-101831.49153784713
0.01,0.24,0.36,0.39,-101188.77370242121,-101796.73263589115
0.01,0.24,0.37,0.38,-101145.96380815531,-101753.97835337887
0.01,0.24,0.38,0.37,-101095.03109227137,-101703.28703376342
0.01,0.24,0.39,0.36,-101036.05161065419,-101644.7062078199
0.01,0.24,0.4,0.35,-100969.09130328415,-101578.27259364518
0.01,0.25,0.33,0.41,-101118.16574841068,-101712.8269784278
0.01,0.25,0.34,0.4,-101095.72373246486,-101689.59600001777
0.01,0.25,0.35,0.39,-101064.87086518724,-101658.18119172903
0.01,0.25,0.36,0.38,-101025.7111331171,-101618.65836060417
0.01,0.25,0.37,0.37,-100978.3378158543,-101571.09190997406
0.01,0.25,0.38,0.36,-100922.83362597003,-101515.53497936846
0.01,0.25,0.39,0.35,-100859.27075530268,-101452.02949081223
0.01,0.25,0.4,0.34,-100787.710828662,-101380.60610252943
0.01,0.26,0.32,0.41,-100976.1659234525,-101556.97564354737
0.01,0.26,0.33,0.4,-100957.70921742765,-101537.34169290612
0.01,0.26,0.34,0.39,-100930.7293977993,-101509.39777972733
0.01,0.26,0.35,0.38,-100895.33862854859,-101473.22684056022
0.01,0.26,0.36,0.37,-100851.63780131996,-101428.89984284587
0.01,0.26,0.37,0.36,-100799.71673649522,-101376.47598599127
0.01,0.26,0.38,0.35,-100739.65428259916,-101316.0028007751
0.01,0.26,0.39,0.34,-100671.51831629958,-101247.51614934782
0.01,0.26,0.4,0.33,-100595.36564300166,-101171.04012582645
0.01,0.27,0.31,0.41,-100823.79086401669,-101390.72573259404
0.01,0.27,0.32,0.4,-100809.45727833126,-101374.82999811754
0.01,0.27,0.33,0.39,-100786.4809018023,-101350.4906060683
0.01,0.27,0.34,0.38,-100754.98271197923,-101317.79825862453
0.01,0.27,0.35,0.37,-100715.07177794844,-101276.8310527319
0.01,0.27,0.36,0.36,-100666.84553213629,-101227.65475190635
0.01,0.27,0.37,0.35,-100610.38993087815,-101170.32294680308
