phase,matrix,variable,x_label,x_value,component,component_index,lambda,factor_value,plotted_value,y_label
LIQUID,A,Co,x_Co,0.01,r=1,1,0.9999999999958537,0.08558522822686904,0.08558522822651417,λ·A
LIQUID,A,Co,x_Co,0.02,r=1,1,0.9999999999958537,0.1924133538742041,0.1924133538734063,λ·A
LIQUID,A,Co,x_Co,0.03,r=1,1,0.9999999999958537,0.0535964072704128,0.05359640727019057,λ·A
LIQUID,A,Co,x_Co,0.04,r=1,1,0.9999999999958537,-0.1194804293610276,-0.11948042936053219,λ·A
LIQUID,A,Co,x_Co,0.05,r=1,1,0.9999999999958537,-0.1300671489616708,-0.1300671489611315,λ·A
LIQUID,A,Co,x_Co,0.06,r=1,1,0.9999999999958537,0.10034068842556536,0.10034068842514932,λ·A
LIQUID,A,Co,x_Co,0.07,r=1,1,0.9999999999958537,0.31171689113928414,0.31171689113799167,λ·A
LIQUID,A,Co,x_Co,0.08,r=1,1,0.9999999999958537,0.1319718137676345,0.1319718137670873,λ·A
LIQUID,A,Co,x_Co,0.09,r=1,1,0.9999999999958537,-0.18083042661755294,-0.18083042661680315,λ·A
LIQUID,A,Co,x_Co,0.1,r=1,1,0.9999999999958537,-0.21683175821027145,-0.2168317582093724,λ·A
LIQUID,A,Co,x_Co,0.11,r=1,1,0.9999999999958537,0.003158809975594637,0.0031588099755815394,λ·A
LIQUID,A,Co,x_Co,0.12,r=1,1,0.9999999999958537,0.09911169136268186,0.09911169136227091,λ·A
LIQUID,A,Co,x_Co,0.13,r=1,1,0.9999999999958537,-0.1007779850574391,-0.10077798505702124,λ·A
LIQUID,A,Co,x_Co,0.14,r=1,1,0.9999999999958537,-0.28699868515772364,-0.28699868515653365,λ·A
LIQUID,A,Co,x_Co,0.15,r=1,1,0.9999999999958537,-0.2367412084053885,-0.2367412084044069,λ·A
LIQUID,A,Co,x_Co,0.16,r=1,1,0.9999999999958537,-0.004920510548446818,-0.004920510548426416,λ·A
LIQUID,A,Co,x_Co,0.17,r=1,1,0.9999999999958537,-0.004045846311548315,-0.004045846311531539,λ·A
LIQUID,A,Co,x_Co,0.18,r=1,1,0.9999999999958537,-0.19674610952070556,-0.19674610951988977,λ·A
LIQUID,A,Co,x_Co,0.19,r=1,1,0.9999999999958537,-0.26756234326824735,-0.26756234326713796,λ·A
LIQUID,A,Co,x_Co,0.2,r=1,1,0.9999999999958537,-0.09397243494815266,-0.09397243494776301,λ·A
LIQUID,A,Co,x_Co,0.21,r=1,1,0.9999999999958537,0.04776656829891618,0.04776656829871812,λ·A
LIQUID,A,Co,x_Co,0.22,r=1,1,0.9999999999958537,0.05969318335449151,0.059693183354244,λ·A
LIQUID,A,Co,x_Co,0.23,r=1,1,0.9999999999958537,-0.13029338656637002,-0.13029338656582978,λ·A
LIQUID,A,Co,x_Co,0.24,r=1,1,0.9999999999958537,-0.2132612295155485,-0.21326122951466422,λ·A
LIQUID,A,Co,x_Co,0.25,r=1,1,0.9999999999958537,-0.035854548746324266,-0.0358545487461756,λ·A
LIQUID,A,Co,x_Co,0.26,r=1,1,0.9999999999958537,0.18663144310615395,0.18663144310538013,λ·A
LIQUID,A,Co,x_Co,0.27,r=1,1,0.9999999999958537,0.18761661727856607,0.18761661727778814,λ·A
LIQUID,A,Co,x_Co,0.28,r=1,1,0.9999999999958537,-0.007634508388525035,-0.00763450838849338,λ·A
LIQUID,A,Co,x_Co,0.29,r=1,1,0.9999999999958537,-0.03688325179544707,-0.036883251795294135,λ·A
LIQUID,A,Co,x_Co,0.3,r=1,1,0.9999999999958537,0.14195040625989816,0.14195040625930958,λ·A
LIQUID,A,Co,x_Co,0.31,r=1,1,0.9999999999958537,0.2136197814168887,0.21361978141600296,λ·A
LIQUID,A,Co,x_Co,0.32,r=1,1,0.9999999999958537,0.070893272895316,0.07089327289502205,λ·A
LIQUID,A,Co,x_Co,0.33,r=1,1,0.9999999999958537,-0.06356607545918794,-0.06356607545892437,λ·A
LIQUID,A,Co,x_Co,0.34,r=1,1,0.9999999999958537,-0.003527919789885034,-0.003527919789870406,λ·A
LIQUID,A,Co,x_Co,0.35,r=1,1,0.9999999999958537,0.22917781628512707,0.22917781628417683,λ·A
LIQUID,A,Co,x_Co,0.36,r=1,1,0.9999999999958537,0.35311691875494916,0.353116918753485,λ·A
LIQUID,A,Co,x_Co,0.37,r=1,1,0.9999999999958537,0.161290441043727,0.16129044104305823,λ·A
LIQUID,A,Co,x_Co,0.38,r=1,1,0.9999999999958537,-0.07126885944860885,-0.07126885944831335,λ·A
LIQUID,A,Co,x_Co,0.39,r=1,1,0.9999999999958537,-0.10341597952773596,-0.10341597952730716,λ·A
LIQUID,A,Co,x_Co,0.4,r=1,1,0.9999999999958537,0.0688666277732511,0.06886662777296555,λ·A
LIQUID,A,Co,x_Co,0.01,r=2,2,0.999999999999628,-0.2890792839578362,-0.2890792839577287,λ·A
LIQUID,A,Co,x_Co,0.02,r=2,2,0.999999999999628,-0.06441095464679295,-0.06441095464676898,λ·A
LIQUID,A,Co,x_Co,0.03,r=2,2,0.999999999999628,0.05167188450544305,0.05167188450542383,λ·A
LIQUID,A,Co,x_Co,0.04,r=2,2,0.999999999999628,-0.03439979803232512,-0.03439979803231232,λ·A
LIQUID,A,Co,x_Co,0.05,r=2,2,0.999999999999628,-0.16461787147784165,-0.1646178714777804,λ·A
LIQUID,A,Co,x_Co,0.06,r=2,2,0.999999999999628,-0.27453293356923253,-0.2745329335691304,λ·A
LIQUID,A,Co,x_Co,0.07,r=2,2,0.999999999999628,-0.18309880674607468,-0.18309880674600656,λ·A
LIQUID,A,Co,x_Co,0.08,r=2,2,0.999999999999628,-0.07607921083413897,-0.07607921083411066,λ·A
LIQUID,A,Co,x_Co,0.09,r=2,2,0.999999999999628,-0.1311735457449641,-0.1311735457449153,λ·A
LIQUID,A,Co,x_Co,0.1,r=2,2,0.999999999999628,-0.25829632108066275,-0.25829632108056666,λ·A
LIQUID,A,Co,x_Co,0.11,r=2,2,0.999999999999628,-0.29028927968862617,-0.29028927968851814,λ·A
LIQUID,A,Co,x_Co,0.12,r=2,2,0.999999999999628,-0.13086998442835654,-0.13086998442830786,λ·A
LIQUID,A,Co,x_Co,0.13,r=2,2,0.999999999999628,-0.026327636861513102,-0.026327636861503308,λ·A
LIQUID,A,Co,x_Co,0.14,r=2,2,0.999999999999628,-0.12700436591165343,-0.1270043659116062,λ·A
LIQUID,A,Co,x_Co,0.15,r=2,2,0.999999999999628,-0.2942812386589908,-0.29428123865888134,λ·A
LIQUID,A,Co,x_Co,0.16,r=2,2,0.999999999999628,-0.3105216989194947,-0.3105216989193792,λ·A
LIQUID,A,Co,x_Co,0.17,r=2,2,0.999999999999628,-0.16087375566074902,-0.16087375566068918,λ·A
LIQUID,A,Co,x_Co,0.18,r=2,2,0.999999999999628,-0.0649303024835319,-0.06493030248350774,λ·A
LIQUID,A,Co,x_Co,0.19,r=2,2,0.999999999999628,-0.1671783337872969,-0.1671783337872347,λ·A
LIQUID,A,Co,x_Co,0.2,r=2,2,0.999999999999628,-0.23488243359363573,-0.23488243359354835,λ·A
LIQUID,A,Co,x_Co,0.21,r=2,2,0.999999999999628,-0.17680413160672892,-0.17680413160666314,λ·A
LIQUID,A,Co,x_Co,0.22,r=2,2,0.999999999999628,-0.048215622707785746,-0.04821562270776781,λ·A
LIQUID,A,Co,x_Co,0.23,r=2,2,0.999999999999628,0.01035066828507789,0.01035066828507404,λ·A
LIQUID,A,Co,x_Co,0.24,r=2,2,0.999999999999628,-0.07566591280838737,-0.07566591280835923,λ·A
LIQUID,A,Co,x_Co,0.25,r=2,2,0.999999999999628,-0.13009437230518522,-0.13009437230513682,λ·A
