phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
LIQUID,A,Co,x_Co,0.01,λ·A,0.08558522822651417,-0.2890792839577287,-0.02502190461962722,-0.31979797810299754,0.06669744624962967,0.1766510521920902
LIQUID,A,Co,x_Co,0.02,λ·A,0.1924133538734063,-0.06441095464676898,-0.1270651834707205,-0.24149446622373694,0.0445843593115949,-0.0945647252377719
LIQUID,A,Co,x_Co,0.03,λ·A,0.05359640727019057,0.05167188450542383,-0.04845239518381997,-0.09046046667087919,-0.0914260512787793,-0.13386471707751574
LIQUID,A,Co,x_Co,0.04,λ·A,-0.11948042936053219,-0.03439979803231232,0.007197005882175874,-0.08640549528523854,-0.16832297797222948,0.10706499194453627
LIQUID,A,Co,x_Co,0.05,λ·A,-0.1300671489611315,-0.1646178714777804,0.17892398529530953,-0.21243827509710816,-0.06406980897716281,0.3124935884434356
LIQUID,A,Co,x_Co,0.06,λ·A,0.10034068842514932,-0.2745329335691304,0.19504825025547046,-0.261048955529678,0.07006423137740656,0.1653970711416523
LIQUID,A,Co,x_Co,0.07,λ·A,0.31171689113799167,-0.18309880674600656,0.0470323970431785,-0.1559752585844704,0.07878905861226254,-0.07286640384068525
LIQUID,A,Co,x_Co,0.08,λ·A,0.1319718137670873,-0.07607921083411066,0.11504481850365093,-0.012236854801726513,0.015152052857302766,-0.10590718174381689
LIQUID,A,Co,x_Co,0.09,λ·A,-0.18083042661680315,-0.1311735457449153,0.31050084122302096,-0.003109201413005919,-0.02481713261975512,0.03599794835649291
LIQUID,A,Co,x_Co,0.1,λ·A,-0.2168317582093724,-0.25829632108056666,0.38476621196147326,-0.13237017383940403,0.09493780216756223,0.11414879164355674
LIQUID,A,Co,x_Co,0.11,λ·A,0.0031588099755815394,-0.29028927968851814,0.35588103009855915,-0.1458255896287153,0.31512512572601653,-0.056444003850613676
LIQUID,A,Co,x_Co,0.12,λ·A,0.09911169136227091,-0.13086998442830786,0.2149468900369758,0.0034732600819369045,0.37637624883533655,-0.3212185934192111
LIQUID,A,Co,x_Co,0.13,λ·A,-0.10077798505702124,-0.026327636861503308,0.22806453849770109,0.08020517238314406,0.27884359285625465,-0.30013071177260553
LIQUID,A,Co,x_Co,0.14,λ·A,-0.28699868515653365,-0.1270043659116062,0.34431629174227685,0.002473099402409764,0.18502690603605143,-0.08320403782944334
LIQUID,A,Co,x_Co,0.15,λ·A,-0.2367412084044069,-0.29428123865888134,0.2876995515090559,-0.11778317820571181,0.2586173569801293,0.0354974160351245
LIQUID,A,Co,x_Co,0.16,λ·A,-0.004920510548426416,-0.3105216989193792,0.17210869653716682,-0.11446158552353661,0.3728946257488144,-0.14204851969788998
LIQUID,A,Co,x_Co,0.17,λ·A,-0.004045846311531539,-0.16087375566068918,0.023327734218117034,0.004766850985001706,0.3023760907621941,-0.3326444385507696
LIQUID,A,Co,x_Co,0.18,λ·A,-0.19674610951988977,-0.06493030248350774,0.09801224023577214,0.051815910015488284,0.14725556598952141,-0.23035809895407466
LIQUID,A,Co,x_Co,0.19,λ·A,-0.26756234326713796,-0.1671783337872347,0.13970006796106912,-0.04736793898462879,0.10193887044140844,0.012361544305251096
LIQUID,A,Co,x_Co,0.2,λ·A,-0.09397243494776301,-0.23488243359354835,0.09271358747478456,-0.1286803824703644,0.13831182737235498,0.05499198674908609
LIQUID,A,Co,x_Co,0.21,λ·A,0.04776656829871812,-0.17680413160666314,-0.08236009815119875,-0.08989324277819165,0.16635209059990572,-0.10614812290004257
LIQUID,A,Co,x_Co,0.22,λ·A,0.059693183354244,-0.04821562270776781,-0.11935977800441745,0.018333099431008824,0.04264068690052806,-0.25093187018380997
LIQUID,A,Co,x_Co,0.23,λ·A,-0.13029338656582978,0.01035066828507404,-0.08120853829575221,0.02315563116019627,-0.07307220445612098,-0.09658838605256351
LIQUID,A,Co,x_Co,0.24,λ·A,-0.21326122951466422,-0.07566591280835923,0.06271998899017275,-0.09581496221235561,-0.028547919961281622,0.11870361802262483
LIQUID,A,Co,x_Co,0.25,λ·A,-0.0358545487461756,-0.13009437230513682,-0.03716807145490261,-0.1911775391521561,0.019056052849698475,0.10884533064609589
LIQUID,A,Co,x_Co,0.26,λ·A,0.18663144310538013,-0.06833736932308349,-0.17270031960006407,-0.18062946661909157,0.05770164745081766,-0.05640127822272084
LIQUID,A,Co,x_Co,0.27,λ·A,0.18761661727778814,0.005307180143158543,-0.1647304441745984,-0.039776463992094516,-0.05707589359102364,-0.1261693051361531
LIQUID,A,Co,x_Co,0.28,λ·A,-0.00763450838849338,-0.004572368208385532,-0.050743426478988975,-0.04795433965192206,-0.19723532586594358,0.057217526700098956
LIQUID,A,Co,x_Co,0.29,λ·A,-0.036883251795294135,-0.20034049890007113,0.0057460650592934545,-0.19320842617067158,-0.18525938235466616,0.23581429931137404
LIQUID,A,Co,x_Co,0.3,λ·A,0.14195040625930958,-0.249622094245997,-0.06905907847076602,-0.2428293242160386,-0.09690930025469886,0.1861900092613812
