phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,A,Co,x_Co,0.01,λ·A,-0.1249503353168372,-0.3071188470626299,-0.1638550197805454,-0.12092667538165734,-0.19855250266607632,0.22707156110642363
FCC,A,Co,x_Co,0.02,λ·A,-0.30248252902964495,0.01341008397263858,-0.11899624953773512,-0.1334204905716616,-0.21163828339060495,0.18750127630318514
FCC,A,Co,x_Co,0.03,λ·A,-0.2902339986418559,0.2504278118552524,-0.18349860667399495,-0.22945260099318054,-0.060605966607140155,0.029925306126299057
FCC,A,Co,x_Co,0.04,λ·A,-0.14453596885180636,0.09396039354401306,-0.1362027525151507,-0.19147280943209058,0.06156544768253399,-0.07791554190369494
FCC,A,Co,x_Co,0.05,λ·A,-0.0025343398908748613,-0.004714498905972976,0.04121482575006796,-0.20146961873892832,0.03154692569994093,-0.015674429304700175
FCC,A,Co,x_Co,0.06,λ·A,-0.12197441114944381,-0.21339387478703425,0.1993578681581089,-0.27606696727369984,0.034105059171403926,0.07766783744888665
FCC,A,Co,x_Co,0.07,λ·A,-0.3264070755407666,-0.04684144005966716,0.21553365651226652,-0.26494828877181215,0.1513151148082911,-0.01453391954583967
FCC,A,Co,x_Co,0.08,λ·A,-0.1926969933713964,0.1530981438647149,0.06624009348170315,-0.3076482791501216,0.30528622186157645,-0.09710635291000669
FCC,A,Co,x_Co,0.09,λ·A,0.11190544985505683,0.004198104615390593,0.01379302377540021,-0.3296764337141865,0.3718658842314515,0.03809045709174113
FCC,A,Co,x_Co,0.1,λ·A,0.17943852983730402,-0.10086786710715381,0.12444850894284802,-0.27012335180271907,0.26521787805539987,0.21333969779667247
FCC,A,Co,x_Co,0.11,λ·A,0.03193973026152123,-0.414796760207293,0.16510986077185633,-0.19055869134626485,0.19998317613738192,0.27788212615862345
FCC,A,Co,x_Co,0.12,λ·A,-0.11329145911845268,-0.23622499416805554,0.09844506028478288,-0.10331869663401715,0.21805309661464115,0.1702764932780367
FCC,A,Co,x_Co,0.13,λ·A,-0.013448692717579015,0.022065515893502797,-0.05617524242497693,-0.1512295671671089,0.23674294858873016,0.12818582089397282
FCC,A,Co,x_Co,0.14,λ·A,0.2509213825785322,-0.10068963105096565,-0.13724693143272718,-0.10409919510747347,0.22190521036458943,0.23412458308675288
FCC,A,Co,x_Co,0.15,λ·A,0.29716484195926496,-0.18645486832511576,-0.09716887837734722,-0.0007430819845480848,0.08270796763184043,0.32061455852895016
FCC,A,Co,x_Co,0.16,λ·A,0.086701298305469,-0.22555609968117538,-0.08407835361160561,0.11543203786514337,-0.03222633410805865,0.33480943078513076
FCC,A,Co,x_Co,0.17,λ·A,-0.006710323171768359,-0.0831766978678311,-0.17310006374161868,0.11021646695031348,-0.028582803416886033,0.27410200795202777
FCC,A,Co,x_Co,0.18,λ·A,0.1110332075822585,0.06094186842961083,-0.27276306224461494,0.07267947583411609,0.012857856594451203,0.19060431596498253
FCC,A,Co,x_Co,0.19,λ·A,0.2321258894677689,-0.052995234328686476,-0.2742375658942412,0.08455690645376987,-0.05900221734091776,0.21117283293850994
FCC,A,Co,x_Co,0.2,λ·A,0.18776949266501797,-0.35862708498222745,-0.2133070901753225,0.1258424492930826,-0.14045748256262233,0.29210913486246215
