Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-177659.53082154784,-172987.29114356363
0.01,0.19,0.39,0.41,-177589.85870018566,-172926.5472970442
0.01,0.19,0.4,0.4,-177556.57864376676,-172929.97342430288
0.01,0.2,0.38,0.41,-177505.5468435172,-172849.16652357145
0.01,0.2,0.39,0.4,-177475.53323707992,-172856.72970695494
0.01,0.2,0.4,0.39,-177435.19292194615,-172853.45038603657
0.01,0.21,0.37,0.41,-177407.0114978352,-172755.53877720452
0.01,0.21,0.38,0.4,-177380.39887151564,-172767.36800220102
0.01,0.21,0.39,0.39,-177343.3453000587,-172768.20140108923
0.01,0.21,0.4,0.38,-177295.8942746001,-172758.05592268502
0.01,0.22,0.36,0.41,-177294.6138808264,-172645.99899212198
0.01,0.22,0.37,0.4,-177271.5423448566,-172662.23026783235
0.01,0.22,0.38,0.39,-177237.9086497526,-172667.30527063183
0.01,0.22,0.39,0.38,-177193.76466280603,-172661.24827755874
0.01,0.22,0.4,0.37,-177139.14881535133,-172644.0694329211
0.01,0.23,0.35,0.41,-177168.6661614723,-172520.8330544945
0.01,0.23,0.36,0.4,-177149.28198812105,-172541.60999534593
0.01,0.23,0.37,0.39,-177119.206882142,-172551.06250954623
0.01,0.23,0.38,0.38,-177078.5016689236,-172549.22278429684
0.01,0.23,0.39,0.37,-177027.2131559561,-172536.1082921284
0.01,0.23,0.4,0.36,-176965.374191058,-172511.72184912648
0.01,0.24,0.34,0.41,-177029.43623022718,-172380.28257194706
0.01,0.24,0.35,0.4,-177013.89250229095,-172405.75704618287
0.01,0.24,0.36,0.39,-176987.52086024566,-172419.73058459765
0.01,0.24,0.37,0.38,-176950.39173606742,-172422.24393304708
0.01,0.24,0.38,0.37,-176902.56089534322,-172413.32247422467
0.01,0.24,0.39,0.36,-176844.06956204757,-172392.9763524383
0.01,0.24,0.4,0.35,-176774.94441854217,-172361.20047360988
0.01,0.25,0.33,0.41,-176877.15148830463,-172224.54866282817
0.01,0.25,0.34,0.4,-176865.608823944,-172254.88151733257
0.01,0.25,0.35,0.39,-176843.09233116894,-172273.52784658325
0.01,0.25,0.36,0.38,-176809.68277337967,-172280.53767992626
0.01,0.25,0.37,0.37,-176765.44552275087,-172275.94495870962
0.01,0.25,0.38,0.36,-176710.43076135372,-172259.76773740462
0.01,0.25,0.39,0.35,-176644.6735477059,-172232.00825015656
0.01,0.25,0.4,0.34,-176568.19375022143,-172192.6528442342
0.01,0.26,0.32,0.41,-176712.00182572936,-172053.79493461477
0.01,0.26,0.33,0.4,-176704.62919122766,-172089.15680768868
0.01,0.26,0.34,0.39,-176686.1270684234,-172112.63667305576
0.01,0.26,0.35,0.38,-176656.5873648995,-172124.29465631096
0.01,0.26,0.36,0.37,-176616.0857842549,-172124.17398229244
0.01,0.26,0.37,0.36,-176564.68211514832,-172112.301264126
0.01,0.26,0.38,0.35,-176502.42037419425,-172088.68664612024
0.01,0.26,0.39,0.34,-176429.32880596255,-172053.32380376675
0.01,0.26,0.4,0.33,-176345.41974008334,-172006.18980084467
0.01,0.27,0.31,0.41,-176534.1419137313,-171868.14977597058
0.01,0.27,0.32,0.4,-176531.1175379262,-171908.7220117314
0.01,0.27,0.33,0.39,-176516.79735391607,-171937.2059498846
0.01,0.27,0.34,0.38,-176491.28532789822,-171953.6727267046
0.01,0.27,0.35,0.37,-176454.66830765418,-171958.17566327803
0.01,0.27,0.36,0.36,-176407.01641326697,-171950.75065622063
0.01,0.27,0.37,0.35,-176348.38326793868,-171931.41640849505
0.01,0.27,0.38,0.34,-176278.80607433597,-171900.17450575638
0.01,0.27,0.39,0.33,-176198.30553824472,-171857.00934000677
0.01,0.27,0.4,0.32,-176106.88563775213,-171801.8878787776
0.01,0.28,0.3,0.41,-176343.69290337752,-171667.7080557135
0.01,0.28,0.31,0.4,-176345.20531018035,-171713.68373659873
0.01,0.28,0.32,0.39,-176335.24389634206,-171747.35299001556
0.01,0.28,0.33,0.38,-176313.92571919347,-171768.79899543527
0.01,0.28,0.34,0.37,-176281.34968513064,-171778.08608462295
0.01,0.28,0.35,0.36,-176237.59705841925,-171775.26025044185
0.01,0.28,0.36,0.35,-176182.7317936855,-171760.34947934415
0.01,0.28,0.37,0.34,-176116.80070018375,-171733.36391563862
0.01,0.28,0.38,0.33,-176039.83344179663,-171694.29586149068
0.01,0.28,0.39,0.32,-175951.8423727673,-171643.1196126547
0.01,0.28,0.4,0.31,-175852.8222052085,-171579.79112598335
0.01,0.29,0.29,0.41,-176140.7435958018,-171452.53229310445
0.01,0.29,0.3,0.4,-176146.9927745057,-171504.1174101482
0.01,0.29,0.31,0.39,-176141.57725729048,-171543.16495960552
0.01,0.29,0.32,0.38,-176124.62836292895,-171569.77133444938
0.01,0.29,0.33,0.37,-176096.25808895068,-171584.01290963968
0.01,0.29,0.34,0.36,-176056.55975823567,-171585.94668871645
0.01,0.29,0.35,0.35,-176005.608469593,-171575.61075437837
0.01,0.29,0.36,0.34,-175943.46136370095,-171553.02453442258
0.01,0.29,0.37,0.33,-175870.15771103,-171518.18888966768
0.01,0.29,0.38,0.32,-175785.71882391997,-171471.08602603077
0.01,0.29,0.39,0.31,-175690.14779063957,-171411.67922858745
0.01,0.29,0.4,0.3,-175583.42902480805,-171339.91241099307
0.01,0.3,0.28,0.41,-175925.35112768458,-171222.65334345688
0.01,0.3,0.29,0.4,-175936.54986484486,-171280.06812812662
0.01,0.3,0.3,0.39,-175935.87883608587,-171324.69986297033
0.01,0.3,0.31,0.38,-175923.48495350266,-171356.65948633722
0.01,0.3,0.32,0.37,-175899.49447606664,-171376.0365866857
0.01,0.3,0.33,0.36,-175864.01381779133,-171382.90021074805
0.01,0.3,0.34,0.35,-175817.1301361002,-171377.29945189747
0.01,0.3,0.35,0.34,-175758.91171585445,-171359.26383417592
0.01,0.3,0.36,0.33,-175689.40815894847,-171328.80350188893
0.01,0.3,0.37,0.32,-175608.6503843098,-171285.9092196058
0.01,0.3,0.38,0.31,-175516.6504383039,-171230.55218256396
0.01,0.3,0.39,0.3,-175413.401110706,-171162.68363264116
0.01,0.3,0.4,0.29,-175298.87534633343,-171082.23426998805
0.01,0.31,0.27,0.41,-175697.54119702548,-170978.07062405554
0.01,0.31,0.28,0.4,-175713.9165987978,-171041.55107053253
0.01,0.31,0.29,0.39,-175718.2014475904,-171091.9871205064
0.01,0.31,0.3,0.38,-175710.55977115862,-171129.50578003252
0.01,0.31,0.31,0.37,-175691.13342179605,-171154.21118294063
0.01,0.31,0.32,0.36,-175660.04307495823,-171166.1855894575
0.01,0.31,0.33,0.35,-175617.38897920202,-171165.4901361451
0.01,0.31,0.34,0.34,-175563.25147800308,-171152.16535771705
0.01,0.31,0.35,0.33,-175497.69131743847,-171126.23149472132
0.01,0.31,0.36,0.32,-175420.74974785998,-171087.6885952123
0.01,0.31,0.37,0.31,-175332.4484222207,-171036.51641307794
0.01,0.31,0.38,0.3,-175232.7890883925,-170972.67410035685
0.01,0.31,0.39,0.29,-175121.75306734873,-170896.09968542086
0.01,0.31,0.4,0.28,-174999.30050322466,-170806.70932303608
0.01,0.32,0.26,0.41,-175457.30783737067,-170718.751888546
0.01,0.32,0.27,0.4,-175479.10307762198,-170788.55150176288
0.01,0.32,0.28,0.39,-175488.56951266184,-170845.0277592816
0.01,0.32,0.29,0.38,-175485.8900340168,-170888.325482962
0.01,0.32,0.3,0.37,-175471.2236096409,-170918.56487433318
0.01,0.32,0.31,0.36,-175444.70650831176,-170935.84273898735
0.01,0.32,0.32,0.35,-175406.4532400282,-170940.23342697578
0.01,0.32,0.33,0.34,-175356.55723939935,-170931.7895161967
0.01,0.32,0.34,0.33,-175295.0913111168,-170910.54225786612
0.01,0.32,0.35,0.32,-175222.1078497149,-170876.50179627768
0.01,0.32,0.36,0.31,-175137.63883957095,-170829.65716880205
0.01,0.32,0.37,0.3,-175041.69563514457,-170769.97608612603
0.01,0.32,0.38,0.29,-174934.26851550574,-170697.40448678058
0.01,0.32,0.39,0.28,-174815.32600094567,-170611.8658537517
0.01,0.32,0.4,0.27,-174684.8139125791,-170513.26027408286
0.01,0.33,0.25,0.41,-175204.61273233304,-170444.63254163243
0.01,0.33,0.26,0.4,-175232.0890700017,-170521.02435454246
0.01,0.33,0.27,0.39,-175246.97886769578,-170583.79422272128
0.01,0.33,0.28,0.38,-175249.48589807324,-170633.10680117604
0.01,0.33,0.29,0.37,-175239.78799285926,-170669.10010723074
0.01,0.33,0.3,0.36,-175218.038536492,-170691.88701416872
0.01,0.33,0.31,0.35,-175184.36763229233,-170701.55641739978
0.01,0.33,0.32,0.34,-175138.88297631132,-170698.17410830525
0.01,0.33,0.33,0.33,-175081.6704643741,-170681.78338128058
0.01,0.33,0.34,0.32,-175012.79454962938,-170652.40539128298
0.01,0.33,0.35,0.31,-174932.29836063727,-170610.0392719185
0.01,0.33,0.36,0.3,-174840.20358328143,-170554.66201735334
0.01,0.33,0.37,0.29,-174736.51010321957,-170486.22812476408
0.01,0.33,0.38,0.28,-174621.19539883957,-170404.66898729323
0.01,0.33,0.39,0.27,-174494.21366741223,-170309.89202020224
0.01,0.33,0.4,0.26,-174355.49465892103,-170201.77949470154
0.01,0.34,0.24,0.41,-174939.38404536268,-170155.61446904013
0.01,0.34,0.25,0.4,-174972.82316499634,-170238.89338304568
0.01,0.34,0.26,0.39,-174993.39618682297,-170308.22979296243
0.01,0.34,0.27,0.38,-175001.33010516985,-170363.81052745905
0.01,0.34,0.28,0.37,-174996.82363289356,-170405.79343699428
0.01,0.34,0.29,0.36,-174980.0490182034,-170434.30921063555
0.01,0.34,0.3,0.35,-174951.1534800808,-170449.46281147425
0.01,0.34,0.31,0.34,-174910.26030789892,-170451.334576242
0.01,0.34,0.32,0.33,-174857.46965892473,-170439.9810128102
0.01,0.34,0.33,0.32,-174792.85907744057,-170415.43531930924
0.01,0.34,0.34,0.31,-174716.48375062083,-170377.70764000344
0.01,0.34,0.35,0.3,-174628.376508532,-170326.7850652896
0.01,0.34,0.36,0.29,-174528.54756825586,-170262.63137581962
